Model ID	Name	Reaction	Subsystem	Lower Bound	Upper Bound	Gene-Protein-Rule (GPR)	Reaction Type	BiGG ID	KEGG ID	ModelSEED ID	Confidence Score	Evidence
14GLUCANabcpp	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c	"Transport, Inner Membrane"	0	1000	KPN_04423 and KPN_04421 and KPN_04424 and KPN_04422	Transport	14GLUCANabcpp	-	rxn07923	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
14GLUCANtexi	"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"	14glucan_e --> 14glucan_p	"Transport, Outer Membrane"	0	1000	KPN_04425	Transport	14GLUCANtexi	-	rxn07924	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	23camp_e <=> 23camp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	23CAMPtex	-	rxn07925	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	23ccmp_e <=> 23ccmp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	23CCMPtex	-	rxn07926	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	23cgmp_e <=> 23cgmp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	23CGMPtex	-	rxn07927	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	23cump_e <=> 23cump_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	23CUMPtex	-	rxn07928	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23DAPPAt2pp	"2,3-diaminopropionate transport in via proton symport"	23dappa_p + h_p --> 23dappa_c + h_c	"Transport, Inner Membrane"	0	1000	-	Transport	23DAPPAt2pp	-	rxn07929	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23DAPPAtex	"2,3-diaminopropionate transport via diffusion"	23dappa_e <=> 23dappa_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	23DAPPAtex	-	rxn07930	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23DK5MPPISO	2;3-diketo-5-methylthiopentyl-1-phosphate enolase	dkmpp_c --> hkmpp_c	Methionine Metabolism	0	1000	-	Catalytic	23DK5MPPISO	R07393	rxn05105	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23PDE2pp	"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	23cump_p + h2o_p --> 3ump_p + h_p	Nucleotide Salvage Pathway	0	1000	KPN_04607	Catalytic	23PDE2pp	R03538	rxn02522	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23PDE4pp	"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	23ccmp_p + h2o_p --> 3cmp_p + h_p	Nucleotide Salvage Pathway	0	1000	KPN_04607	Catalytic	23PDE4pp	R03929	rxn02762	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23PDE7pp	"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	23camp_p + h2o_p --> 3amp_p + h_p	Nucleotide Salvage Pathway	0	1000	KPN_04607	Catalytic	23PDE7pp	R03537	rxn02521	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
23PDE9pp	"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	23cgmp_p + h2o_p --> 3gmp_p + h_p	Nucleotide Salvage Pathway	0	1000	KPN_04607	Catalytic	23PDE9pp	R05135	rxn03483	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
26DAHtex	"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	26dap__M_e <=> 26dap__M_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	26DAHtex	-	rxn07931	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p_p --> 2ddecg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA120tipp	-	rxn07932	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	2tdecg3p_p --> 2tdecg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA140tipp	-	rxn07933	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	2tdec7eg3p_p --> 2tdec7eg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA141tipp	-	rxn07934	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	2hdecg3p_p --> 2hdecg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA160tipp	-	rxn07935	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	2hdec9eg3p_p --> 2hdec9eg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA161tipp	-	rxn07936	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	2odecg3p_p --> 2odecg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA180tipp	-	rxn07937	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	2odec11eg3p_p --> 2odec11eg3p_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPA181tipp	-	rxn07938	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpe120_p --> 2agpe120_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE120tipp	-	rxn07939	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpe140_p --> 2agpe140_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE140tipp	-	rxn07940	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpe141_p --> 2agpe141_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE141tipp	-	rxn07941	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpe160_p --> 2agpe160_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE160tipp	-	rxn07942	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpe161_p --> 2agpe161_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE161tipp	-	rxn07943	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpe180_p --> 2agpe180_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE180tipp	-	rxn07944	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpe181_p --> 2agpe181_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPE181tipp	-	rxn07945	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT120	-	rxn07946	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT140	-	rxn07947	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT141	-	rxn07948	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT160	-	rxn07949	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT161	-	rxn07950	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT180	-	rxn07951	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPEAT181	-	rxn07952	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpg120_p --> 2agpg120_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG120tipp	-	rxn07953	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpg140_p --> 2agpg140_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG140tipp	-	rxn07954	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpg141_p --> 2agpg141_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG141tipp	-	rxn07955	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpg160_p --> 2agpg160_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG160tipp	-	rxn07956	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpg161_p --> 2agpg161_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG161tipp	-	rxn07957	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180_p --> 2agpg180_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG180tipp	-	rxn07958	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpg181_p --> 2agpg181_c	"Transport, Inner Membrane"	0	1000	KPN_03244	Transport	2AGPG181tipp	-	rxn07959	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT120	-	rxn07960	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT140	-	rxn07961	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT141	-	rxn07962	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT160	-	rxn07963	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT161	-	rxn07964	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT180	-	rxn07965	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c	Glycerophospholipid Metabolism	0	1000	KPN_03245	Catalytic	2AGPGAT181	-	rxn07966	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c	Alternate Carbon Metabolism	0	1000	KPN_03915	Catalytic	2DGLCNRx	-	rxn07967	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c	Alternate Carbon Metabolism	0	1000	KPN_03915	Catalytic	2DGLCNRy	R01739	rxn01277; rxn14160	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c	Alternate Carbon Metabolism	0	1000	KPN_03915	Catalytic	2DGULRx	-	rxn07969	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c	Alternate Carbon Metabolism	0	1000	KPN_03915	Catalytic	2DGULRy	R08880	rxn07970	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2INSD	2-Inosose dehydratase	2ins_c --> dkdi_c + h2o_c	Inositol Metabolism	0	1000	KPN_04677	Catalytic	2INSD	R02782; R05659	rxn02007	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c	Cofactor and Prosthetic Group Biosynthesis	0	1000	KPN_00408 or KPN_01142	Catalytic	2MAHMP	-	rxn07971	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2OBUT_Et	2-Oxobutanoate transport (transport mechanism unknown - evidence from biolog data)	2obut_e --> 2obut_c	Transport	0	1000	-	Transport	2OBUT_Et	-	-	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
2OH3K5MPPISO	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	h2o_c + hkmpp_c --> dhmtp_c + pi_c	Methionine Metabolism	0	1000	-	Catalytic	2OH3K5MPPISO	R07394	rxn05106; rxn11033	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
34dhpactex	Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	34dhpac_e <=> 34dhpac_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	34dhpactex	-	rxn07972	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	3amp_e <=> 3amp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	3AMPtex	-	rxn07973	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	3cmp_e <=> 3cmp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	3CMPtex	-	rxn07974	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	3gmp_e <=> 3gmp_p	"Transport, Outer Membrane"	-1000	1000	KPN_00282 or KPN_02636 or KPN_02430 or KPN_00956 or KPN_01445	Transport	3GMPtex	-	rxn07975	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	3hdecACP_c --> h2o_c + tdec2eACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD100	R04535	rxn05333	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	3hddecACP_c --> h2o_c + tddec2eACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD120	R04965	rxn05331	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD121	-	rxn07976	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	3hmrsACP_c --> h2o_c + tmrs2eACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD140	R04568	rxn05335	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00983 or KPN_00193	Catalytic	3HAD141	-	rxn07977	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	3hpalmACP_c --> h2o_c + tpalm2eACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00983 or KPN_00193	Catalytic	3HAD160	R04544	rxn05332	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD161	-	rxn07978	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	3hoctaACP_c --> h2o_c + toctd2eACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00983 or KPN_00193	Catalytic	3HAD180	R07764	rxn07979	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c	Cell Envelope Biosynthesis	0	1000	KPN_00193 or KPN_00983	Catalytic	3HAD181	-	rxn07980	-	Inherited from previous K. pneumoniae MGH78578 model (iYL1228). See PMID: 21296962 for more information.
